Scientific Name,#Occurrences
peromyscus maniculatus,36603
peromyscus leucopus,20703
myodes rutilus,19017
sorex cinereus,16331
mus musculus,14354
microtus oeconomus,12230
sigmodon hispidus,12051
microtus pennsylvanicus,9856
peromyscus keeni,8623
sorex monticolus,8378
dipodomys ordii,8199
martes americana,7740
dipodomys merriami,7600
odobenus rosmarus,7096
peromyscus boylii,7021
lynx canadensis,6516
myodes gapperi,6462
peromyscus truei,5390
bos bison,5089
microtus longicaudus,5007
blarina brevicauda,4941
neotoma albigula,4919
peromyscus gossypinus,4763
canis lupus,4656
canis latrans,4519
perognathus flavus,4317
artibeus jamaicensis,4310
pusa hispida,4308
neovison vison,4187
thomomys bottae,3968
tadarida brasiliensis,3947
artibeus lituratus,3884
peromyscus eremicus,3858
tamiasciurus hudsonicus,3816
peromyscus polionotus,3554
reithrodontomys megalotis,3525
procyon lotor,3300
glossophaga soricina,3265
microtus xanthognathus,3107
ondatra zibethicus,3059
carollia perspicillata,3005
neotoma cinerea,2881
onychomys leucogaster,2880
rattus rattus,2866
myotis lucifugus,2842
ursus americanus,2798
enhydra lutris,2753
thomomys talpoides,2739
myotis grisescens,2706
sturnira lilium,2691
reithrodontomys fulvescens,2643
eptesicus fuscus,2631
sciurus carolinensis,2631
blarina carolinensis,2624
erignathus barbatus,2597
microtus pinetorum,2597
clethrionomys gapperi,2546
sorex vagrans,2464
odocoileus virginianus,2453
macrotus californicus,2418
microtus montanus,2416
lynx rufus,2411
sylvilagus floridanus,2395
phoca largha,2367
sorex trowbridgii,2358
oryzomys palustris,2347
vulpes lagopus,2315
lemmus trimucronatus,2289
gulo gulo,2262
abrothrix olivaceus,2256
calomys laucha,2238
peromyscus attwateri,2235
sciurus niger,2231
castor canadensis,2210
vulpes vulpes,2196
lasiurus borealis,2191
podomys floridanus,2191
mustela erminea,2168
microtus miurus,2149
microtus ochrogaster,2141
peromyscus sp.,2076
tamias minimus,2058
tamias amoenus,2028
rattus norvegicus,1986
myodes glareolus,1947
oligoryzomys longicaudatus,1918
peromyscus levipes,1906
lasionycteris noctivagans,1893
carollia brevicauda,1858
didelphis virginiana,1850
myotis velifer,1819
ursus arctos,1809
chaetodipus intermedius,1808
zapus hudsonius,1790
canis dirus,1781
sorex fumeus,1765
cryptotis parva,1758
phoca vitulina,1754
rangifer tarandus,1723
abrothrix longipilis,1704
marmota flaviventris,1687
lepus americanus,1677
microtus mexicanus,1670
hyracotherium sp,1669
tamias striatus,1631
mammal sp,1625
peromyscus melanotis,1586
puma concolor,1579
myotis austroriparius,1554
calomys musculinus,1544
neotoma micropus,1520
molossus molossus,1508
geomys pinetis,1478
neotoma floridana,1462
eumetopias jubatus,1459
lasiurus cinereus,1442
antrozous pallidus,1437
myotis sodalis,1429
peromyscus nasutus,1428
desmodus rotundus,1427
alopex lagopus,1423
neotoma mexicana,1414
geomys bursarius,1410
smilodon floridanus,1409
ochrotomys nuttalli,1401
spermophilus armatus,1348
zygodontomys brevicauda,1347
spermophilus parryii,1332
sigmodon arizonae,1320
lontra canadensis,1308
chaetodipus eremicus,1280
oreolagus nebrascensis,1276
zapus princeps,1276
thomomys monticola,1272
cervus elaphus,1247
chaetodipus penicillatus,1247
mesodma formosa,1222
hyopsodus sp,1220
myotis nigricans,1218
ochotona princeps,1209
purgatorius unio,1204
microtus californicus,1197
myodes californicus,1163
stenella attenuata,1158
microtus mogollonensis,1157
mesodma thompsoni,1156
spermophilus lateralis,1148
peromyscus mexicanus,1134
urocyon cinereoargenteus,1126
scalopus aquaticus,1112
apodemus flavicollis,1107
mustela frenata,1105
nycticeius humeralis,1093
myotis yumanensis,1088
akodon azarae,1079
glaucomys sabrinus,1070
tamias quadrivittatus,1070
mastomys natalensis,1069
tamias townsendii,1068
myotis volans,1066
apodemus sylvaticus,1062
hyopsodus paulus,1062
sylvilagus audubonii,1060
synaptomys borealis,1058
dicrostonyx groenlandicus,1054
chaetodipus goldmani,1051
gerbillurus paeba,1046
liomys pictus,1020
peromyscus pectoralis,1020
pipistrellus subflavus,1006
odocoileus hemionus,1005
parastrellus hesperus,1003
perognathus parvus,988
delphinus delphis,985
lemmiscus curtatus,984
phyllotis xanthopygus,983
sorex tundrensis,977
lepus californicus,971
perognathus amplus,967
saccopteryx bilineata,964
aethomys namaquensis,958
napaeozapus insignis,943
sturnira erythromos,939
platyrrhinus helleri,937
neotoma lepida,926
myodes rufocanus,924
mesodma sp,920
peromyscus californicus,916
carollia castanea,915
sorex longirostris,914
tatera leucogaster,913
miniopterus schreibersi,887
blarina hylophaga,877
dipodomys spectabilis,874
glaucomys volans,871
mephitis mephitis,833
chaetodipus hispidus,826
simimys simplex,824
neotoma leucodon,817
