Scientific name,#occurrences
Peromyscus leucopus,20703
Myodes rutilus,19017
Sorex cinereus,16331
Mus musculus,14354
Microtus oeconomus,12230
Sigmodon hispidus,12051
Microtus pennsylvanicus,9856
Peromyscus keeni,8623
Sorex monticolus,8378
Dipodomys ordii,8199
Martes americana,7740
Dipodomys merriami,7600
Odobenus rosmarus,7096
Peromyscus boylii,7021
Lynx canadensis,6516
Myodes gapperi,6462
Peromyscus truei,5390
Bos bison,5089
Microtus longicaudus,5007
Blarina brevicauda,4941
Neotoma albigula,4919
Peromyscus gossypinus,4763
Canis lupus,4656
Canis latrans,4519
Perognathus flavus,4317
Artibeus jamaicensis,4310
Pusa hispida,4308
Neovison vison,4187
Thomomys bottae,3968
Tadarida brasiliensis,3947
Artibeus lituratus,3884
Peromyscus eremicus,3858
Tamiasciurus hudsonicus,3816
Peromyscus polionotus,3554
Reithrodontomys megalotis,3525
Procyon lotor,3300
Glossophaga soricina,3265
Microtus xanthognathus,3107
Ondatra zibethicus,3059
Carollia perspicillata,3005
Neotoma cinerea,2881
Onychomys leucogaster,2880
Rattus rattus,2866
Myotis lucifugus,2842
Ursus americanus,2798
Enhydra lutris,2753
Thomomys talpoides,2739
Myotis grisescens,2706
Sturnira lilium,2691
Reithrodontomys fulvescens,2643
Eptesicus fuscus,2631
Sciurus carolinensis,2631
Blarina carolinensis,2624
Erignathus barbatus,2597
Microtus pinetorum,2597
Clethrionomys gapperi,2546
Sorex vagrans,2464
Odocoileus virginianus,2453
Macrotus californicus,2418
Microtus montanus,2416
Lynx rufus,2411
Sylvilagus floridanus,2395
Phoca largha,2367
Sorex trowbridgii,2358
Oryzomys palustris,2347
Vulpes lagopus,2315
Lemmus trimucronatus,2289
Gulo gulo,2262
Abrothrix olivaceus,2256
Calomys laucha,2238
Peromyscus attwateri,2235
Sciurus niger,2231
Castor canadensis,2210
Vulpes vulpes,2196
Lasiurus borealis,2191
Podomys floridanus,2191
Mustela erminea,2168
Microtus miurus,2149
Microtus ochrogaster,2141
Peromyscus sp.,2076
Tamias minimus,2058
Tamias amoenus,2028
Rattus norvegicus,1986
Myodes glareolus,1947
Oligoryzomys longicaudatus,1918
Peromyscus levipes,1906
Lasionycteris noctivagans,1893
Carollia brevicauda,1858
Didelphis virginiana,1850
Myotis velifer,1819
Ursus arctos,1809
Chaetodipus intermedius,1808
Zapus hudsonius,1790
Canis dirus,1781
Sorex fumeus,1765
Cryptotis parva,1758
Phoca vitulina,1754
Rangifer tarandus,1723
Abrothrix longipilis,1704
Marmota flaviventris,1687
Lepus americanus,1677
Microtus mexicanus,1670
Hyracotherium sp,1669
Tamias striatus,1631
Mammal sp,1625
Peromyscus melanotis,1586
Puma concolor,1579
Myotis austroriparius,1554
Calomys musculinus,1544
Neotoma micropus,1520
Molossus molossus,1508
Geomys pinetis,1478
Neotoma floridana,1462
Eumetopias jubatus,1459
Lasiurus cinereus,1442
Antrozous pallidus,1437
Myotis sodalis,1429
Peromyscus nasutus,1428
Desmodus rotundus,1427
Alopex lagopus,1423
Neotoma mexicana,1414
Geomys bursarius,1410
Smilodon floridanus,1409
Ochrotomys nuttalli,1401
Spermophilus armatus,1348
Zygodontomys brevicauda,1347
Spermophilus parryii,1332
Sigmodon arizonae,1320
Lontra canadensis,1308
Chaetodipus eremicus,1280
Oreolagus nebrascensis,1276
Zapus princeps,1276
Thomomys monticola,1272
Cervus elaphus,1247
Chaetodipus penicillatus,1247
Mesodma formosa,1222
Hyopsodus sp,1220
Myotis nigricans,1218
Ochotona princeps,1209
Purgatorius unio,1204
Microtus californicus,1197
Myodes californicus,1163
Stenella attenuata,1158
Microtus mogollonensis,1157
Mesodma thompsoni,1156
Spermophilus lateralis,1148
Peromyscus mexicanus,1134
Urocyon cinereoargenteus,1126
Scalopus aquaticus,1112
Apodemus flavicollis,1107
Mustela frenata,1105
Nycticeius humeralis,1093
Myotis yumanensis,1088
Akodon azarae,1079
Glaucomys sabrinus,1070
Tamias quadrivittatus,1070
Mastomys natalensis,1069
Tamias townsendii,1068
Myotis volans,1066
Apodemus sylvaticus,1062
Hyopsodus paulus,1062
Sylvilagus audubonii,1060
Synaptomys borealis,1058
Dicrostonyx groenlandicus,1054
Chaetodipus goldmani,1051
Gerbillurus paeba,1046
Liomys pictus,1020
Peromyscus pectoralis,1020
Pipistrellus subflavus,1006
Odocoileus hemionus,1005
Parastrellus hesperus,1003
Perognathus parvus,988
Delphinus delphis,985
Lemmiscus curtatus,984
Phyllotis xanthopygus,983
Sorex tundrensis,977
Lepus californicus,971
Perognathus amplus,967
Saccopteryx bilineata,964
Aethomys namaquensis,958
Napaeozapus insignis,943
Sturnira erythromos,939
Platyrrhinus helleri,937
Neotoma lepida,926
Myodes rufocanus,924
Mesodma sp,920
Peromyscus californicus,916
Carollia castanea,915
Sorex longirostris,914
Tatera leucogaster,913
Miniopterus schreibersi,887
Blarina hylophaga,877
Dipodomys spectabilis,874
Glaucomys volans,871
Mephitis mephitis,833
Chaetodipus hispidus,826
Simimys simplex,824
Neotoma leucodon,817
Ursus maritimus,812
Procerberus formicarum,811
Perognathus flavescens,810
Canis familiaris,803
Oligoryzomys microtis,795
Sigmodon mascotensis,778
Alces alces,776
Myotis californicus,773
Palaeolagus sp,770
Microsyops sp,764
Myotis thysanodes,763
Rattus exulans,760
Sorex pacificus,759
Sorex hoyi,757
Cimolodon nitidus,756
Pteronotus parnellii,753
Rhabdomys pumilio,746
Rodent sp,746
Cynopterus brachyotis,742
Loxodontomys micropus,739
Cynomys leucurus,735
Oligoryzomys flavescens,729
Tursiops truncatus,727
Spermophilus elegans,722
Liomys irroratus,707
Graomys griseoflavus,705
Onychomys arenicola,698
Chaerephon pumila,697
Erethizon dorsatum,693
Spermophilus spilosoma,692
Sorex haydeni,686
Condylura cristata,672
Ptenochirus jagori,672
Myotis evotis,671
Myocastor coypus,670
Vulpes velox,665
Artibeus planirostris,661
Akodon simulator,656
Sturnira ludovici,653
Zalophus californianus,652
Palaeolagus temnodon,649
Parascalops breweri,648
Taxidea taxus,642
Urocitellus richardsonii,642
Phenacomys intermedius,636
Marmota monax,632
Sigmodon hirsutus,629
Lasiurus seminolus,628
Peromyscus nudipes,627
Apodemus semotus,626
Microtus oregoni,626
Oryzomys couesi,623
Lemmus sibiricus,621
Merychippus sumani,616
Myotis albescens,616
Sorex sp.,616
Spermophilus tridecemlineatus,615
Corynorhinus townsendii,611
Liomys adspersus,610
Neotoma fuscipes,610
Apodemus agrarius,609
Carollia subrufa,607
Tamias dorsalis,605
Rousettus amplexicaudatus,604
Peromyscus spicilegus,599
Chaetodipus artus,595
Microtus sp.,594
Sorex caecutiens,594
Praomys natalensis,593
Cynomys gunnisoni,591
Calomys callosus,587
Apodemus wardi,582
Sus scrofa,582
Zapus trinotatus,580
Uroderma bilobatum,578
Oligoryzomys destructor,577
Glossophaga leachii,575
Haplonycteris fischeri,575
Holochilus chacarius,575
Macroglossus minimus,572
Neurotrichus gibbsii,571
Stygimys kuszmauli,568
Sorex palustris,564
Antilocapra americana,563
Peromyscus difficilis,560
Bison bison,559
Tamiasciurus douglasii,556
Akodon sp.,555
Trichechus manatus,554
Ovis canadensis,552
Notiosorex crawfordi,547
Monophyllus redmani,543
Molossus ater,540
Myotis ciliolabrum,540
Phyllotis darwini,539
Synaptomys cooperi,539
Choeronycteris mexicana,538
Eumys sp,528
Artibeus toltecus,527
Leptonycteris yerbanuene,526
Artibeus fraterculus,524
Thomomys umbrinus,519
Spermophilus variegatus,518
Ctenomys boliviensis,516
Hylaeamys perenensis,516
Akodon montensis,514
Akodon boliviensis,512
Mustela vison,510
Pipistrellus nanus,509
Didelphis marsupialis,507
Microtus breweri,507
Onychomys torridus,507
Equus caballus,505
Neofiber alleni,505
Baiomys musculus,504
Proechimys simonsi,504
Balaena mysticetus,502
Microtus arvalis,501
Stenella longirostris,495
Sylvilagus nuttallii,495
Tamias rufus,495
Leptonychotes weddellii,493
Artibeus intermedius,490
Martes pennanti,490
Sorex araneus,490
Perimyotis subflavus,489
Perognathus longimembris,488
Proechimys steerei,486
Rhynchonycteris naso,484
Necromys lasiurus,482
Tamias ruficaudus,481
Phocoena phocoena,480
Proechimys brevicauda,479
Artibeus phaeotis,478
Equus occidentalis,478
Balantiopteryx plicata,473
Hipposideros diadema,473
Multituberculate sp,473
Ammospermophilus leucurus,472
Perognathus merriami,472
Hyopsodus powellianus,471
Phyllostomus discolor,471
Geomys breviceps,466
Macrotus waterhousii,464
Meniscoessus robustus,462
Baiomys taylori,461
Hipposideros caffer,458
Microtus townsendii,458
Ochotona collaris,456
Scapanus townsendii,456
Peromyscus crinitus,451
Spermophilus beecheyi,450
Ischyromys veterior,448
Thomomys bulbivorus,445
Artibeus cinereus,443
Tamias alpinus,443
Pygoderma bilabiatum,442
Brachyphylla cavernarum,440
Aplodontia rufa,439
Dasypus novemcinctus,439
Coleura afra,435
Myotis occultus,435
Chaetodipus baileyi,434
Arborimus longicaudus,431
Delphinus capensis,430
Reithrodontomys humulis,430
Arborimus pomo,429
Heteromys desmarestianus,429
Delphinapterus leucas,427
Euceratherium collinum,427
Lasiurus intermedius,427
Ectypodus tardus,425
Noctilio albiventris,425
Ovis aries,422
Peromyscus gratus,422
Dipodomys stephensi,417
Mesoscalops scopelotemos,416
Natalus stramineus,416
Metanoiamys agorus,414
Osgoodomys banderanus,414
Noctilio leporinus,413
Artibeus obscurus,409
Artibeus hirsutus,408
Cupidinimus madisonensis,407
Histriophoca fasciata,403
Tuscahomys walshi,403
Platyrrhinus lineatus,400
Balantiopteryx io,399
Copemys dentalis,399
Pecari tajacu,399
Eumops bonariensis,398
Leptonycteris nivalis,398
Palaeolagus burkei,397
Microdipodops megacephalus,391
Pteropus lylei,391
Callorhinus ursinus,390
Thomomys mazama,389
Erophylla sezekorni,386
Meriones unguiculatus,384
Microtus abbreviatus,383
Suncus murinus,382
Phenacodus sp,378
Plecotus townsendii,377
Meriones crassus,374
Leporid sp,373
Leptomeryx sp,372
Chaerephon plicata,371
Calomyscus baluchi,370
Cupidinimus sp,370
Scapanus orarius,369
Peratherium sp,368
Mimomys stehlini,366
Spermophilus columbianus,364
Meriones meridianus,363
Pteronotus personatus,363
Myotis septentrionalis,362
Necromys obscurus,359
Reithrodontomys sp.,359
Anoura geoffroyi,357
Myotis sp.,357
Tamias cinereicollis,355
Oryzomys mexicanus,354
Myopus schisticolor,353
Apodemus uralensis,349
Peromyscus sp,348
Lagostomus maximus,344
Microtus sp,343
Sigmodon ochrognathus,342
Artibeus watsoni,341
Perognathus sp.,341
Reithrodontomys montanus,341
Octodon degus,340
Hyperacrius fertilis,339
Ictidomys tridecemlineatus,339
Prosciurus sp,338
Hypolagus apachensis,337
Auliscomys pictus,336
Nyctinomops macrotis,336
Carnivore sp,335
Equus scotti,335
Sorex merriami,334
Didelphodon vorax,332
Dipodomys nelsoni,332
Marmota caligata,331
Oligoryzomys nigripes,331
Neotoma stephensi,328
Notiosorex dalquesti,328
Tadarida aegyptiaca,327
Bassariscus astutus,325
Callospermophilus lateralis,325
Oligoryzomys fulvescens,325
Sciurus aberti,323
Urocitellus armatus,323
