Scientific name,#occurrences
Peromyscus leucopus,20703
Myodes rutilus,19017
Sorex cinereus,16331
Mus musculus,14354
Microtus oeconomus,12230
Sigmodon hispidus,12051
Microtus pennsylvanicus,9856
Peromyscus keeni,8623
Sorex monticolus,8378
Dipodomys ordii,8199
Martes americana,7740
Dipodomys merriami,7600
Odobenus rosmarus,7096
Peromyscus boylii,7021
Lynx canadensis,6516
Myodes gapperi,6462
Peromyscus truei,5390
Bos bison,5089
Microtus longicaudus,5007
Blarina brevicauda,4941
Neotoma albigula,4919
Peromyscus gossypinus,4763
Canis lupus,4656
Canis latrans,4519
Perognathus flavus,4317
Artibeus jamaicensis,4310
Pusa hispida,4308
Neovison vison,4187
Thomomys bottae,3968
Tadarida brasiliensis,3947
Artibeus lituratus,3884

Peromyscus eremicus,3858
Tamiasciurus hudsonicus,3816
Peromyscus polionotus,3554
Reithrodontomys megalotis,3525
Procyon lotor,3300
Glossophaga soricina,3265
Microtus xanthognathus,3107
Ondatra zibethicus,3059
Carollia perspicillata,3005
Neotoma cinerea,2881
Onychomys leucogaster,2880
Rattus rattus,2866
Myotis lucifugus,2842
Ursus americanus,2798
Enhydra lutris,2753
Thomomys talpoides,2739
Myotis grisescens,2706
Sturnira lilium,2691
Reithrodontomys fulvescens,2643
