Ailuropoda melanoleuca
Balaenoptera acutorostrata
Bos indicus
Bos mutus
Bos taurus
Bubalus bubalis
Callithrix jacchus
Camelus bactrianus
Camelus ferus
Canis lupus familiaris
Capra hircus
Capreolus capreolus
Cavia aperea
Cavia porcellus
Ceratotherium simum simum
Chinchilla lanigera
Chlorocebus sabaeus
Choloepus hoffmanni
Chrysochloris asiatica
Condylura cristata
Cricetulus griseus
Dasypus novemcinctus
Daubentonia madagascariensis
Dipodomys ordii
Echinops telfairi
Eidolon helvum
Elephantulus edwardii
Eptesicus fuscus
Equus caballus
Equus przewalskii
Erinaceus europaeus
Felis catus
Fukomys damarensis
Galeopterus variegatus
Gorilla gorilla
Heterocephalus glaber
Homo sapiens
Ictidomys tridecemlineatus
Jaculus jaculus
Leptonychotes weddellii
Lipotes vexillifer
Loxodonta africana
Macaca fascicularis
Macaca mulatta
Macropus eugenii
Manis pentadactyla
Megaderma lyra
Mesocricetus auratus
Microcebus murinus
Microtus ochrogaster
Monodelphis domestica
Mus musculus
Mustela putorius furo
Myotis brandtii
Myotis davidii
Myotis lucifugus
Nannospalax galili
Nomascus leucogenys
Ochotona princeps
Octodon degus
Odobenus rosmarus divergens
Odocoileus virginianus
Orcinus orca
Ornithorhynchus anatinus
Orycteropus afer
Oryctolagus cuniculus
Otolemur garnettii
Ovis aries
Pan paniscus
Pan troglodytes
Panthera tigris
Pantholops hodgsonii
Papio anubis
Peromyscus maniculatus
Physeter catodon
Pongo abelii
Procavia capensis
Pteronotus parnellii
Pteropus alecto
Pteropus vampyrus
Rattus norvegicus
Rhinolophus ferrumequinum
Saimiri boliviensis boliviensis
Sarcophilus harrisii
Sorex araneus
Sus scrofa
Tarsius syrichta
Trichechus manatus latirostris
Tupaia belangeri
Tupaia chinensis
Tursiops truncatus
Ursus arctos
Ursus maritimus
Vicugna pacos
